candidate_id,rank,score,reasoning
CAND_0081846,1,1.446573,"Lead AI Engineer with 6.7 years of experience. Current claim: building hybrid search systems, dense/sparse retrieval layers, and configuring offline evaluation frameworks. Profile exactly matches the JD's retrieval/ranking focus. Based in Jaipur, Rajasthan (not Pune/Noida)."
CAND_0061257,2,1.388367,Staff Machine Learning Engineer with 8.0 years of experience. Current claim: optimizing operational ranking functions and balancing data lifecycle streams with strict online system checks. Profile exactly matches the JD's retrieval/ranking focus.
CAND_0076412,3,1.063887,AI Research Engineer with 5.8 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. Strong background at a top-tier product company. 120-day notice period is a concern.
CAND_0019288,4,0.93977,AI Research Engineer with 5.7 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. Immediately available.
CAND_0089470,5,0.896107,AI Research Engineer with 6.5 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. Strong background at a top-tier product company.
CAND_0027218,6,0.843227,AI Research Engineer with 4.7 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. Strong background at a top-tier product company.
CAND_0051466,7,0.825842,"AI Research Engineer with 5.3 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. Strong background at a top-tier product company. Based in Trivandrum, Kerala (not Pune/Noida)."
CAND_0033179,8,0.812412,"AI Research Engineer with 6.9 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. Immediately available. Based in Ahmedabad, Gujarat (not Pune/Noida)."
CAND_0059795,9,0.811384,"Senior Software Engineer (ML) with 5.6 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. Strong background at a top-tier product company. Based in Mumbai, Maharashtra (not Pune/Noida)."
CAND_0073883,10,0.763366,"AI Specialist with 5.3 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. Open to work with reasonable notice. Based in Chandigarh, Chandigarh (not Pune/Noida)."
CAND_0036484,11,0.763108,"AI Research Engineer with 5.7 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. Open to work with reasonable notice. Based in Kolkata, West Bengal (not Pune/Noida)."
CAND_0065139,12,0.754266,"AI Research Engineer with 5.2 years of experience. Current claim: configuring tokenization strategies, building text preprocessing layers, and training custom transformer sequences. Strong background at a top-tier product company. Based in Bhubaneswar, Odisha (not Pune/Noida)."
CAND_0073007,13,0.749939,"AI Specialist with 5.8 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. Open to work with reasonable notice. Based in Bangalore, Karnataka (not Pune/Noida)."
CAND_0029714,14,0.742865,AI Specialist with 6.4 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. Strong background at a top-tier product company.
CAND_0015493,15,0.740388,"Data Scientist with 6.4 years of experience. Current claim: exclusively building computer vision models for image moderation using PyTorch with zero professional NLP or information retrieval experience. Immediately available. Based in Vizag, Andhra Pradesh (not Pune/Noida)."
CAND_0082086,16,0.739871,"Senior Software Engineer (ML) with 6.0 years of experience. Current claim: exclusively building computer vision models for image moderation using PyTorch with zero professional NLP or information retrieval experience. Open to work with reasonable notice. Based in Delhi, Delhi (not Pune/Noida)."
CAND_0032216,17,0.739027,ML Engineer with 6.1 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. Immediately available. GitHub activity is limited.
CAND_0014440,18,0.738296,"Recommendation Systems Engineer with 6.4 years of experience. Current claim: tuning search engine scoring logic, adjusting index configurations, and scaling product search relevancy features. Profile exactly matches the JD's retrieval/ranking focus. Based in Chennai, Tamil Nadu (not Pune/Noida)."
CAND_0094165,19,0.738056,"AI Research Engineer with 5.8 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. Open to work with reasonable notice. Based in Chandigarh, Chandigarh (not Pune/Noida)."
CAND_0008295,20,0.723679,"AI Research Engineer with 6.5 years of experience. Current claim: configuring tokenization strategies, building text preprocessing layers, and training custom transformer sequences. Open to work with reasonable notice."
CAND_0095042,21,0.722987,"Senior Software Engineer (ML) with 5.1 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. Open to work with reasonable notice. Based in Bangalore, Karnataka (not Pune/Noida)."
CAND_0021491,22,0.706959,"AI Research Engineer with 6.1 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. Open to work with reasonable notice. Based in Bhubaneswar, Odisha (not Pune/Noida)."
CAND_0018888,23,0.696178,"AI Research Engineer with 6.5 years of experience. Current claim: configuring tokenization strategies, building text preprocessing layers, and training custom transformer sequences. Strong background at a top-tier product company."
CAND_0010541,24,0.696014,AI Research Engineer with 6.2 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. Strong background at a top-tier product company. GitHub activity is limited.
CAND_0004402,25,0.690503,"AI Research Engineer with 6.0 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. Open to work with reasonable notice. Based in Delhi, Delhi (not Pune/Noida)."
CAND_0096801,26,0.689581,"AI Research Engineer with 4.2 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. Immediately available. Based in Kolkata, West Bengal (not Pune/Noida)."
CAND_0098952,27,0.682226,"AI Research Engineer with 5.5 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. Strong background at a top-tier product company. Based in Gurgaon, Haryana (not Pune/Noida)."
CAND_0015967,28,0.679094,Senior Software Engineer (ML) with 5.4 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. Immediately available. Limited recruiter engagement.
CAND_0044890,29,0.678279,"AI Research Engineer with 5.0 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. Strong background at a top-tier product company. Based in Bhubaneswar, Odisha (not Pune/Noida)."
CAND_0069638,30,0.65892,"Computer Vision Engineer with 6.2 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. Immediately available. Based in Chennai, Tamil Nadu (not Pune/Noida)."
CAND_0063622,31,0.657802,"Computer Vision Engineer with 5.2 years of experience. Current claim: exclusively building computer vision models for image moderation using PyTorch with zero professional NLP or information retrieval experience. Immediately available. Based in Hyderabad, Telangana (not Pune/Noida)."
CAND_0070525,32,0.657788,"Senior Software Engineer (ML) with 5.4 years of experience. Current claim: configuring tokenization strategies, building text preprocessing layers, and training custom transformer sequences. Open to work with reasonable notice. GitHub activity is limited."
CAND_0060257,33,0.656987,"AI Specialist with 5.8 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. Open to work with reasonable notice. Based in Gurgaon, Haryana (not Pune/Noida)."
CAND_0020494,34,0.654971,AI Research Engineer with 5.9 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. High recruiter interest.
CAND_0044576,35,0.653858,"Senior Software Engineer (ML) with 5.4 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. Open to work with reasonable notice. Based in Coimbatore, Tamil Nadu (not Pune/Noida)."
CAND_0065786,36,0.651211,"AI Specialist with 4.9 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. Open to work with reasonable notice. Based in Indore, Madhya Pradesh (not Pune/Noida)."
CAND_0080372,37,0.650832,Computer Vision Engineer with 5.2 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. Open to work with reasonable notice. GitHub activity is limited.
CAND_0020845,38,0.650012,"AI Research Engineer with 7.0 years of experience. Current claim: configuring tokenization strategies, building text preprocessing layers, and training custom transformer sequences. Open to work with reasonable notice. Based in Vizag, Andhra Pradesh (not Pune/Noida)."
CAND_0026716,39,0.647785,Computer Vision Engineer with 5.6 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. Open to work with reasonable notice. Limited recruiter engagement.
CAND_0092706,40,0.644943,"AI Research Engineer with 5.8 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. Open to work with reasonable notice. Based in Delhi, Delhi (not Pune/Noida)."
CAND_0036121,41,0.644868,"ML Engineer with 5.2 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. Open to work with reasonable notice. Based in Chennai, Tamil Nadu (not Pune/Noida)."
CAND_0043676,42,0.644716,Senior Software Engineer (ML) with 6.1 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. Immediately available. Limited recruiter engagement.
CAND_0091229,43,0.643975,Senior Software Engineer (ML) with 7.0 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. Open to work with reasonable notice. Limited recruiter engagement.
CAND_0070544,44,0.642714,"AI Research Engineer with 4.9 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. Open to work with reasonable notice. Based in Jaipur, Rajasthan (not Pune/Noida)."
CAND_0043829,45,0.642099,"AI Research Engineer with 4.8 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. Open to work with reasonable notice. Based in Bangalore, Karnataka (not Pune/Noida)."
CAND_0017093,46,0.638671,"ML Engineer with 5.9 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. Immediately available. Based in Hyderabad, Telangana (not Pune/Noida)."
CAND_0011643,47,0.634714,"AI Research Engineer with 4.2 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. Open to work with reasonable notice. Based in Jaipur, Rajasthan (not Pune/Noida)."
CAND_0022023,48,0.633329,AI Research Engineer with 4.6 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. Open to work with reasonable notice.
CAND_0029117,49,0.631926,"Senior Software Engineer (ML) with 5.6 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. Open to work with reasonable notice. Based in Kochi, Kerala (not Pune/Noida)."
CAND_0071747,50,0.629286,"AI Research Engineer with 4.2 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. Open to work with reasonable notice. Based in Kolkata, West Bengal (not Pune/Noida)."
CAND_0077261,51,0.626908,AI Specialist with 5.7 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. Open to work with reasonable notice. Limited recruiter engagement.
CAND_0089211,52,0.625189,AI Specialist with 4.4 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. Open to work with reasonable notice. 90-day notice period is a concern.
CAND_0029439,53,0.621591,AI Specialist with 6.4 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. Open to work with reasonable notice. GitHub activity is limited.
CAND_0064888,54,0.619892,ML Engineer with 5.8 years of experience. Current claim: exclusively building computer vision models for image moderation using PyTorch with zero professional NLP or information retrieval experience. Immediately available. GitHub activity is limited.
CAND_0043637,55,0.618826,"Junior ML Engineer with 5.5 years of experience. Current claim: configuring tokenization strategies, building text preprocessing layers, and training custom transformer sequences. Open to work with reasonable notice. Based in Delhi, Delhi (not Pune/Noida)."
CAND_0064256,56,0.617476,"Junior ML Engineer with 6.4 years of experience. Current claim: exclusively building computer vision models for image moderation using PyTorch with zero professional NLP or information retrieval experience. Immediately available. Based in Kolkata, West Bengal (not Pune/Noida)."
CAND_0098454,57,0.606177,"AI Specialist with 6.6 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. Open to work with reasonable notice. Based in Indore, Madhya Pradesh (not Pune/Noida)."
CAND_0023541,58,0.59937,AI Specialist with 5.0 years of experience. Current claim: exclusively building computer vision models for image moderation using PyTorch with zero professional NLP or information retrieval experience. Open to work with reasonable notice. GitHub activity is limited.
CAND_0046621,59,0.597612,"AI Research Engineer with 6.6 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. Open to work with reasonable notice. Based in Kolkata, West Bengal (not Pune/Noida)."
CAND_0024549,60,0.595261,"AI Specialist with 5.2 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. Open to work with reasonable notice. Based in Mumbai, Maharashtra (not Pune/Noida)."
CAND_0033445,61,0.594371,"ML Engineer with 6.8 years of experience. Current claim: exclusively building computer vision models for image moderation using PyTorch with zero professional NLP or information retrieval experience. Immediately available. Based in Ahmedabad, Gujarat (not Pune/Noida)."
CAND_0075439,62,0.589336,"Machine Learning Engineer with 4.3 years of experience. Current claim: engineering conversational RAG platforms, context window assembly layers, and prompt optimization middleware protocols. Profile exactly matches the JD's retrieval/ranking focus. Based in Vizag, Andhra Pradesh (not Pune/Noida)."
CAND_0077498,63,0.585403,"Senior Software Engineer (ML) with 5.4 years of experience. Current claim: configuring tokenization strategies, building text preprocessing layers, and training custom transformer sequences. Open to work with reasonable notice. Based in Ahmedabad, Gujarat (not Pune/Noida)."
CAND_0070514,64,0.584249,"AI Specialist with 5.5 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. Open to work with reasonable notice. Based in Bangalore, Karnataka (not Pune/Noida)."
CAND_0014909,65,0.583331,Computer Vision Engineer with 4.8 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. Open to work with reasonable notice. 120-day notice period is a concern.
CAND_0043860,66,0.582876,"Junior ML Engineer with 6.1 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. Immediately available. Based in Bhubaneswar, Odisha (not Pune/Noida)."
CAND_0016163,67,0.581355,"Applied ML Engineer with 6.7 years of experience. Current claim: managing end-to-end model registry networks, deployment orchestration pipelines, and automated artifact version tracking. Profile exactly matches the JD's retrieval/ranking focus. Based in Gurgaon, Haryana (not Pune/Noida)."
CAND_0040946,68,0.581025,AI Research Engineer with 6.0 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. Open to work with reasonable notice.
CAND_0092255,69,0.578476,ML Engineer with 5.2 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. Open to work with reasonable notice.
CAND_0042690,70,0.578398,"Senior Software Engineer (ML) with 6.3 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. Strong background at a top-tier product company. Based in Kolkata, West Bengal (not Pune/Noida)."
CAND_0018925,71,0.573605,"AI Research Engineer with 5.8 years of experience. Current claim: configuring tokenization strategies, building text preprocessing layers, and training custom transformer sequences. Strong background at a top-tier product company. Based in Chandigarh, Chandigarh (not Pune/Noida)."
CAND_0062413,72,0.573253,"AI Research Engineer with 6.6 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. Open to work with reasonable notice. Based in Mumbai, Maharashtra (not Pune/Noida)."
CAND_0012888,73,0.573008,"Junior ML Engineer with 6.4 years of experience. Current claim: exclusively building computer vision models for image moderation using PyTorch with zero professional NLP or information retrieval experience. Immediately available. Based in Delhi, Delhi (not Pune/Noida)."
CAND_0043958,74,0.567793,"AI Research Engineer with 6.7 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. Strong background at a top-tier product company. Based in Bhubaneswar, Odisha (not Pune/Noida)."
CAND_0068777,75,0.564342,"AI Research Engineer with 6.6 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. High recruiter interest. Based in Jaipur, Rajasthan (not Pune/Noida)."
CAND_0059017,76,0.562167,"AI Research Engineer with 6.8 years of experience. Current claim: configuring tokenization strategies, building text preprocessing layers, and training custom transformer sequences. Open to work with reasonable notice. Based in Ahmedabad, Gujarat (not Pune/Noida)."
CAND_0098780,77,0.557877,"AI Research Engineer with 5.9 years of experience. Current claim: exclusively building computer vision models for image moderation using PyTorch with zero professional NLP or information retrieval experience. Open to work with reasonable notice. Based in Bangalore, Karnataka (not Pune/Noida)."
CAND_0096104,78,0.556501,AI Specialist with 7.0 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. Immediately available. Limited recruiter engagement.
CAND_0046132,79,0.555977,AI Research Engineer with 4.3 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. Immediately available.
CAND_0066884,80,0.555865,AI Specialist with 5.5 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. Strong background at a top-tier product company.
CAND_0040178,81,0.553082,ML Engineer with 5.0 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. Open to work with reasonable notice. GitHub activity is limited.
CAND_0030550,82,0.552875,"AI Research Engineer with 5.2 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. Strong background at a top-tier product company. Based in Coimbatore, Tamil Nadu (not Pune/Noida)."
CAND_0088378,83,0.551462,"AI Research Engineer with 6.0 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. Strong background at a top-tier product company. Based in Jaipur, Rajasthan (not Pune/Noida)."
CAND_0000666,84,0.550495,"Data Scientist with 6.5 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. Open to work with reasonable notice. Based in Vizag, Andhra Pradesh (not Pune/Noida)."
CAND_0068410,85,0.545465,"Senior Software Engineer (ML) with 5.8 years of experience. Current claim: exclusively building computer vision models for image moderation using PyTorch with zero professional NLP or information retrieval experience. Open to work with reasonable notice. Based in Ahmedabad, Gujarat (not Pune/Noida)."
CAND_0070225,86,0.545336,"ML Engineer with 6.0 years of experience. Current claim: exclusively building computer vision models for image moderation using PyTorch with zero professional NLP or information retrieval experience. Open to work with reasonable notice. Based in Kolkata, West Bengal (not Pune/Noida)."
CAND_0093763,87,0.541643,Senior Software Engineer (ML) with 5.0 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. Open to work with reasonable notice. 90-day notice period is a concern.
CAND_0058146,88,0.540632,"AI Research Engineer with 5.1 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. High recruiter interest. Based in Ahmedabad, Gujarat (not Pune/Noida)."
CAND_0094728,89,0.539343,"AI Specialist with 6.5 years of experience. Current claim: configuring tokenization strategies, building text preprocessing layers, and training custom transformer sequences. Strong background at a top-tier product company. Based in Chennai, Tamil Nadu (not Pune/Noida)."
CAND_0000969,90,0.537583,"AI Specialist with 5.5 years of experience. Current claim: exclusively building computer vision models for image moderation using PyTorch with zero professional NLP or information retrieval experience. Open to work with reasonable notice. Based in Coimbatore, Tamil Nadu (not Pune/Noida)."
CAND_0023458,91,0.536546,"AI Research Engineer with 5.0 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. Open to work with reasonable notice. Based in Chandigarh, Chandigarh (not Pune/Noida)."
CAND_0082489,92,0.535199,ML Engineer with 5.3 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. Strong background at a top-tier product company. 90-day notice period is a concern.
CAND_0076035,93,0.53289,AI Specialist with 7.0 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. Open to work with reasonable notice. GitHub activity is limited.
CAND_0096131,94,0.53154,"AI Specialist with 5.3 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. Open to work with reasonable notice. Based in Coimbatore, Tamil Nadu (not Pune/Noida)."
CAND_0062707,95,0.530874,"Senior Software Engineer (ML) with 5.6 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. Strong background at a top-tier product company. Based in Kolkata, West Bengal (not Pune/Noida)."
CAND_0029135,96,0.526928,"AI Specialist with 5.8 years of experience. Current claim: exclusively building computer vision models for image moderation using PyTorch with zero professional NLP or information retrieval experience. Open to work with reasonable notice. Based in Ahmedabad, Gujarat (not Pune/Noida)."
CAND_0037160,97,0.52651,"Data Scientist with 6.0 years of experience. Current claim: researching statistical filtering layers and building offline mathematical engines for matrix factorization. Immediately available. Based in Mumbai, Maharashtra (not Pune/Noida)."
CAND_0022870,98,0.524054,"AI Specialist with 6.7 years of experience. Current claim: training recursive time-series models and tree architectures for structural product demand forecasting operations. Open to work with reasonable notice. Based in Ahmedabad, Gujarat (not Pune/Noida)."
CAND_0041696,99,0.522805,"Senior Software Engineer (ML) with 6.2 years of experience. Current claim: optimizing business metric forecasting targets and tabular feature extraction flows using scikit-learn frameworks. Open to work with reasonable notice. Based in Hyderabad, Telangana (not Pune/Noida)."
CAND_0035764,100,0.522277,"Senior Software Engineer (ML) with 6.8 years of experience. Current claim: implementing real-time streaming risk APIs and managing structured offline feature stores for fraud detection systems. Open to work with reasonable notice. Based in Kochi, Kerala (not Pune/Noida)."
